"actual_rides","rain","temp","snow","weekend","date"
3174,0,42,0,0,2017-01-01
3646,0,40,0,1,2017-01-02
3691,0,45,0,1,2017-01-03
4623,0,36,0,0,2017-01-04
4489,0,29,0,0,2017-01-05
4923,0,41,0,0,2017-01-06
5278,0,46,0,0,2017-01-07
5253,0,46,0,0,2017-01-08
4416,0,47,0,1,2017-01-09
3519,1.79999999999953,59,0,1,2017-01-10
4897,0,40,0,0,2017-01-11
5049,0,44,0,0,2017-01-12
4779,0,30,0,0,2017-01-13
4855,0,38,0,0,2017-01-14
5143,0,51,0,0,2017-01-15
4109,0.239999999999875,52,0,1,2017-01-16
3310,0.0499999999999969,42,0.399999999999975,1,2017-01-17
3368,0,31,0,0,2017-01-18
4252,0,28,0,0,2017-01-19
4738,0,37,0,0,2017-01-20
4790,0,36,0,0,2017-01-21
4391,0.00999999999999708,30,0.199999999999911,0,2017-01-22
2342,0,47,0,0,2017-01-23
2877,0,42,0,0,2017-01-24
3640,0,41,0,0,2017-01-25
3437,0,39,0,1,2017-01-26
3936,0,56,0,1,2017-01-27
5256,0.00999999999999622,59,0,0,2017-01-28
5575,0,50,0,0,2017-01-29
4611,0.729999999999705,59,0,0,2017-01-30
5449,0,59,0,0,2017-01-31
3549,0.52999999999992,44,2.5,0,2017-02-01
4096,0,40,0,1,2017-02-02
4187,0,47,0,1,2017-02-03
4705,0.0499999999999801,39,0.0999999999999603,0,2017-02-04
4974,0,36,0,0,2017-02-05
4782,0.00999999999999672,39,0,0,2017-02-06
4517,0,31,0,0,2017-02-07
4191,0,27,0,0,2017-02-08
2595,0,22,0,1,2017-02-09
2108,0,15,0,1,2017-02-10
2427,0.440000000000044,35,1.39999999999983,0,2017-02-11
4140,1.01000000000018,54,0,0,2017-02-12
5163,0,39,0,0,2017-02-13
5136,0,36,0,0,2017-02-14
5007,0,39,0,0,2017-02-15
4926,0,61,0,1,2017-02-16
4573,0.0299999999999838,55,0,1,2017-02-17
5564,0,52,0,0,2017-02-18
4979,0.300000000000101,40,0,0,2017-02-19
3424,1.2199999999998,60,0,0,2017-02-20
5325,0.0199999999999921,61,0,0,2017-02-21
4941,0,39,0,0,2017-02-22
4188,0,41,0,1,2017-02-23
4850,0,60,0,1,2017-02-24
5520,0.049999999999972,61,0,0,2017-02-25
5556,0,52,0,0,2017-02-26
5144,0.139999999999959,55,0,0,2017-02-27
5013,0,36,0,0,2017-02-28
3973,0.109999999999964,39,0.399999999999861,0,2017-03-01
4111,0,41,0,1,2017-03-02
4276,0,44,0,1,2017-03-03
5622,0,60,0,0,2017-03-04
5896,0,67,0,0,2017-03-05
6041,0,77,0,0,2017-03-06
6021,0,79,0,0,2017-03-07
5767,0.0599999999999568,68,0,0,2017-03-08
5190,0,59,0,1,2017-03-09
4844,0,62,0,1,2017-03-10
3305,0.28999999999997,51,0,0,2017-03-11
5253,0,57,0,0,2017-03-12
5727,0.019999999999989,65,0,0,2017-03-13
5787,0,63,0,0,2017-03-14
5682,0,57,0,0,2017-03-15
4788,0,46,0,1,2017-03-16
4078,0.0700000000000058,43,0,1,2017-03-17
5322,0.0599999999999618,50,0.5,0,2017-03-18
5598,0,56,0,0,2017-03-19
5836,0,71,0,0,2017-03-20
5568,0,55,0,0,2017-03-21
5321,0.039999999999979,72,0,0,2017-03-22
4306,0,55,0,1,2017-03-23
4007,0,55,0,1,2017-03-24
3909,0.380000000000052,62,0,0,2017-03-25
4601,0,53,0,0,2017-03-26
4618,0,56,0,0,2017-03-27
4741,0,73,0,0,2017-03-28
